Confirmed cases(confCase),confirmation rate(confCaseRate),Date and time of registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number Unique value by gender, age, and Confirmed cases(seq)",Modified Date and Time Minute(updateDt)
3100,27.9,5/20/2020 10:14,0,0,0,'20-29,891,null
1219,10.97,5/20/2020 10:14,0.16,2,0.76,'30-39,890,null
1468,13.21,5/20/2020 10:14,0.2,3,1.14,'40-49,889,null
1972,17.75,5/20/2020 10:14,0.76,15,5.7,'50-59,888,null
1369,12.32,5/20/2020 10:14,2.78,38,14.45,'60-69,887,null
717,6.45,5/20/2020 10:14,10.88,78,29.66,'70-79,886,null
490,4.41,5/20/2020 10:14,25.92,127,48.29,over 80,885,null
148,1.34,5/19/2020 10:24,0,0,0,'0-9,871,null
621,5.61,5/19/2020 10:24,0,0,0,'10-19,870,null
3087,27.87,5/19/2020 10:24,0,0,0,'20-29,869,null
1215,10.97,5/19/2020 10:24,0.16,2,0.76,'30-39,868,null
1462,13.2,5/19/2020 10:24,0.21,3,1.14,'40-49,867,null
1971,17.79,5/19/2020 10:24,0.76,15,5.7,'50-59,866,null
1368,12.35,5/19/2020 10:24,2.78,38,14.45,'60-69,865,null
716,6.46,5/19/2020 10:24,10.89,78,29.66,'70-79,864,null
490,4.42,5/19/2020 10:24,25.92,127,48.29,over 80,863,null
147,1.33,5/18/2020 10:19,0,0,0,'0-9,849,null
621,5.61,5/18/2020 10:19,0,0,0,'10-19,848,null
3082,27.85,5/18/2020 10:19,0,0,0,'20-29,847,null
1215,10.98,5/18/2020 10:19,0.16,2,0.76,'30-39,846,null
1462,13.21,5/18/2020 10:19,0.21,3,1.14,'40-49,845,null
1968,17.79,5/18/2020 10:19,0.76,15,5.7,'50-59,844,null
1365,12.34,5/18/2020 10:19,2.78,38,14.45,'60-69,843,null
715,6.46,5/18/2020 10:19,10.91,78,29.66,'70-79,842,null
490,4.43,5/18/2020 10:19,25.92,127,48.29,over 80,841,null
147,1.33,5/17/2020 10:14,0,0,0,'0-9,827,null
620,5.61,5/17/2020 10:14,0,0,0,'10-19,826,null
3079,27.86,5/17/2020 10:14,0,0,0,'20-29,825,null
1211,10.96,5/17/2020 10:14,0.17,2,0.76,'30-39,824,null
1457,13.19,5/17/2020 10:14,0.21,3,1.15,'40-49,823,null
1967,17.8,5/17/2020 10:14,0.76,15,5.73,'50-59,822,null
1364,12.34,5/17/2020 10:14,2.79,38,14.5,'60-69,821,null
715,6.47,5/17/2020 10:14,10.77,77,29.39,'70-79,820,null
490,4.43,5/17/2020 10:14,25.92,127,48.47,over 80,819,null
147,1.33,5/16/2020 10:20,0,0,0,'0-9,805,null
619,5.61,5/16/2020 10:20,0,0,0,'10-19,804,null
3074,27.85,5/16/2020 10:20,0,0,0,'20-29,803,null
1209,10.95,5/16/2020 10:20,0.17,2,0.76,'30-39,802,null
1454,13.17,5/16/2020 10:20,0.21,3,1.15,'40-49,801,null
1966,17.81,5/16/2020 10:20,0.76,15,5.73,'50-59,800,null
1364,12.36,5/16/2020 10:20,2.79,38,14.5,'60-69,799,null
714,6.47,5/16/2020 10:20,10.78,77,29.39,'70-79,798,null
490,4.44,5/16/2020 10:20,25.92,127,48.47,over 80,797,null
145,1.32,5/15/2020 10:34,0,0,0,'0-9,783,null
617,5.6,5/15/2020 10:34,0,0,0,'10-19,782,null
3066,27.83,5/15/2020 10:34,0,0,0,'20-29,781,null
1207,10.95,5/15/2020 10:34,0.17,2,0.77,'30-39,780,null
1453,13.19,5/15/2020 10:34,0.21,3,1.15,'40-49,779,null
1965,17.83,5/15/2020 10:34,0.76,15,5.77,'50-59,778,null
1361,12.35,5/15/2020 10:34,2.79,38,14.62,'60-69,777,null
714,6.48,5/15/2020 10:34,10.78,77,29.62,'70-79,776,null
490,4.45,5/15/2020 10:34,25.51,125,48.08,over 80,775,null
143,1.3,5/14/2020 10:19,0,0,0,'0-9,761,null
614,5.59,5/14/2020 10:19,0,0,0,'10-19,760,null
3056,27.8,5/14/2020 10:19,0,0,0,'20-29,759,null
1202,10.94,5/14/2020 10:19,0.17,2,0.77,'30-39,758,null
1451,13.2,5/14/2020 10:19,0.21,3,1.15,'40-49,757,null
1964,17.87,5/14/2020 10:19,0.76,15,5.77,'50-59,756,null
1359,12.36,5/14/2020 10:19,2.8,38,14.62,'60-69,755,null
712,6.48,5/14/2020 10:19,10.81,77,29.62,'70-79,754,null
490,4.46,5/14/2020 10:19,25.51,125,48.08,over 80,753,null
143,1.3,5/13/2020 10:42,0,0,0,'0-9,739,null
603,5.5,5/13/2020 10:42,0,0,0,'10-19,738,null
3042,27.75,5/13/2020 10:42,0,0,0,'20-29,737,null
1199,10.94,5/13/2020 10:42,0.17,2,0.77,'30-39,736,null
1450,13.23,5/13/2020 10:42,0.21,3,1.16,'40-49,735,null
1964,17.92,5/13/2020 10:42,0.76,15,5.79,'50-59,734,null
1359,12.4,5/13/2020 10:42,2.72,37,14.29,'60-69,733,null
712,6.5,5/13/2020 10:42,10.81,77,29.73,'70-79,732,null
490,4.47,5/13/2020 10:42,25.51,125,48.26,over 80,731,null
142,1.3,5/12/2020 10:14,0,0,0,'0-9,717,null
602,5.5,5/12/2020 10:14,0,0,0,'10-19,716,null
3029,27.7,5/12/2020 10:14,0,0,0,'20-29,715,null
1194,10.92,5/12/2020 10:14,0.17,2,0.78,'30-39,714,null
1448,13.24,5/12/2020 10:14,0.21,3,1.16,'40-49,713,null
1963,17.95,5/12/2020 10:14,0.76,15,5.81,'50-59,712,null
1358,12.42,5/12/2020 10:14,2.72,37,14.34,'60-69,711,null
711,6.5,5/12/2020 10:14,10.83,77,29.84,'70-79,710,null
489,4.47,5/12/2020 10:14,25.36,124,48.06,over 80,709,null
141,1.29,5/11/2020 10:27,0,0,0,'0-9,695,null
598,5.48,5/11/2020 10:27,0,0,0,'10-19,694,null
3019,27.67,5/11/2020 10:27,0,0,0,'20-29,693,null
1188,10.89,5/11/2020 10:27,0.17,2,0.78,'30-39,692,null
1446,13.26,5/11/2020 10:27,0.21,3,1.17,'40-49,691,null
1960,17.97,5/11/2020 10:27,0.77,15,5.86,'50-59,690,null
1358,12.45,5/11/2020 10:27,2.72,37,14.45,'60-69,689,null
711,6.52,5/11/2020 10:27,10.83,77,30.08,'70-79,688,null
488,4.47,5/11/2020 10:27,25,122,47.66,over 80,687,null
