Confirmed_cases(confCase),confirmation_rate(confCaseRate),Date_and_time_of_registration(createDt),fatality rate(criticalRate),dead(death),deathRate(deathRate),"Categorization,gender,age(gubun)","post-number_Unique_value by gender, age, and Confirmed_cases(seq)",Modified_Date_and_Time_Minute(updateDt)
7809,54.98,7/28/2020 10:32,1.81,141,47,female ,2259,null
6394,45.02,7/28/2020 10:32,2.49,159,53,male ,2258,null
7803,55.05,7/27/2020 10:50,1.81,141,47.16,female ,2248,null
6372,44.95,7/27/2020 10:50,2.48,158,52.84,male ,2247,null
7790,55.05,7/26/2020 10:29,1.8,140,46.98,female ,2226,null
6360,44.95,7/26/2020 10:29,2.48,158,53.02,male ,2225,null
7781,55.22,7/25/2020 10:24,1.8,140,46.98,female ,2204,null
6311,44.78,7/25/2020 10:24,2.5,158,53.02,male ,2203,null
7764,55.54,7/24/2020 11:06,1.8,140,46.98,female ,2182,null
6215,44.46,7/24/2020 11:06,2.54,158,53.02,male ,2181,null
7746,55.57,7/23/2020 10:40,1.81,140,47.14,female ,2160,null
6192,44.43,7/23/2020 10:40,2.54,157,52.86,male ,2159,null
7726,55.67,7/22/2020 10:28,1.81,140,47.14,female ,2138,null
6153,44.33,7/22/2020 10:28,2.55,157,52.86,male ,2137,null
7702,55.75,7/21/2020 10:55,1.82,140,47.3,female ,2116,null
6114,44.25,7/21/2020 10:55,2.55,156,52.7,male ,2115,null
7682,55.78,7/20/2020 10:57,1.82,140,47.3,female ,2094,null
6089,44.22,7/20/2020 10:57,2.56,156,52.7,male ,2093,null
7675,55.84,7/19/2020 10:21,1.82,140,47.46,female ,2072,null
6070,44.16,7/19/2020 10:21,2.55,155,52.54,male ,2071,null
7662,55.88,7/18/2020 10:26,1.81,139,47.28,female ,2050,null
6049,44.12,7/18/2020 10:26,2.56,155,52.72,male ,2049,null
7646,55.92,7/17/2020 10:41,1.82,139,47.44,female ,2039,null
6026,44.08,7/17/2020 10:41,2.56,154,52.56,male ,2038,null
7601,56.25,7/16/2020 10:47,1.8,137,47.08,female ,2028,null
5911,43.75,7/16/2020 10:47,2.61,154,52.92,male ,2027,null
7607,56.14,7/15/2020 10:40,1.79,136,47.06,female ,2017,null
5944,43.86,7/15/2020 10:40,2.57,153,52.94,male ,2016,null
7601,56.25,7/14/2020 10:44,1.79,136,47.06,female ,1995,null
5911,43.75,7/14/2020 10:44,2.59,153,52.94,male ,1994,null
7584,56.27,7/13/2020 10:25,1.79,136,47.06,female ,1973,null
5895,43.73,7/13/2020 10:25,2.6,153,52.94,male ,1972,null
7561,56.35,7/12/2020 10:30,1.8,136,47.06,female ,1951,null
5856,43.65,7/12/2020 10:30,2.61,153,52.94,male ,1950,null
7549,56.45,7/11/2020 10:29,1.79,135,46.88,female ,1929,null
5824,43.55,7/11/2020 10:29,2.63,153,53.13,male ,1928,null
7536,56.5,7/10/2020 10:18,1.79,135,46.88,female ,1907,null
5802,43.5,7/10/2020 10:18,2.64,153,53.13,male ,1906,null
7527,56.62,7/9/2020 10:53,1.78,134,46.69,female ,1896,null
5766,43.38,7/9/2020 10:53,2.65,153,53.31,male ,1895,null
7506,56.67,7/8/2020 10:20,1.77,133,46.67,female ,1874,null
